ResinTag #,Plot ,Rep,Installed,Removed,Extracted,ug NH4-N/day,ug NO3-N/day,Notes
439,4,C,4-Jun-21,9-Sep-21,10-Sep-21,0.494845361,16.03732332,
440,5,A,4-Jun-21,9-Sep-21,10-Sep-21,0.343092784,7.026705763,
441,5,B,4-Jun-21,9-Sep-21,10-Sep-21,0.230103093,0.624627977,
442,5,C,4-Jun-21,9-Sep-21,10-Sep-21,0.760412371,6.042916699,
443,6,A,4-Jun-21,9-Sep-21,10-Sep-21,0.113814433,1.121996979,
444,6,B,4-Jun-21,9-Sep-21,10-Sep-21,0.268041237,4.677709688,
445,6,C,4-Jun-21,9-Sep-21,10-Sep-21,0.233402062,7.509356519,
446,Blank,,,,10-Sep-21,,,
447,Blank,,,,10-Sep-21,,,
448,1,A,9-Sep-21,13-Dec-21,16-Dec-21,0.183157895,3.038059359,
449,1,B,9-Sep-21,13-Dec-21,16-Dec-21,0.248842105,0.788242342,
450,1,C,9-Sep-21,13-Dec-21,16-Dec-21,0.147789474,3.27887555,
451,2,A,9-Sep-21,13-Dec-21,16-Dec-21,0.238736842,1.568970632,
452,2,B,9-Sep-21,13-Dec-21,16-Dec-21,0.305263158,4.806243994,
453,2,C,9-Sep-21,13-Dec-21,16-Dec-21,0.087157895,1.813452214,
454,3,A,9-Sep-21,13-Dec-21,16-Dec-21,0.157894737,8.82241295,
455,3,B,9-Sep-21,13-Dec-21,16-Dec-21,0.018105263,8.098131681,
456,3,C,9-Sep-21,13-Dec-21,16-Dec-21,0.382736842,3.395434985,
457,4,A,9-Sep-21,13-Dec-21,16-Dec-21,0.216,6.91311076,
458,4,B,9-Sep-21,13-Dec-21,16-Dec-21,0.493894737,25.63171296,
459,4,C,9-Sep-21,13-Dec-21,16-Dec-21,0.846736842,9.463856381,
460,5,A,9-Sep-21,13-Dec-21,16-Dec-21,0.449263158,5.334793381,
461,5,B,9-Sep-21,13-Dec-21,16-Dec-21,0.830736842,12.08241174,
462,5,C,9-Sep-21,13-Dec-21,16-Dec-21,0.274105263,7.387045821,
463,6,A,9-Sep-21,13-Dec-21,16-Dec-21,0.366736842,2.24047027,
464,6,B,9-Sep-21,13-Dec-21,16-Dec-21,0.238736842,7.355156919,
465,6,C,9-Sep-21,13-Dec-21,16-Dec-21,0.051789474,5.080965052,
466,Blank,,,,16-Dec-21,,,
467,Blank,,,,16-Dec-21,,,
468,1,A,13-Dec-21,15-Mar-22,15-Mar-22,0.683478261,1.138241015,
469,1,B,13-Dec-21,15-Mar-22,15-Mar-22,0.104347826,0.317882485,
470,1,C,13-Dec-21,15-Mar-22,15-Mar-22,0.077391304,1.874166038,
471,2,A,13-Dec-21,15-Mar-22,15-Mar-22,0.014782609,2.906704037,
472,2,B,13-Dec-21,15-Mar-22,15-Mar-22,0.235652174,1.519029685,
473,2,C,13-Dec-21,15-Mar-22,15-Mar-22,-0.004347826,1.492088306,
474,3,A,13-Dec-21,15-Mar-22,15-Mar-22,0.093043478,2.009646367,
475,3,B,13-Dec-21,15-Mar-22,15-Mar-22,-0.033913043,5.903255637,
476,3,C,13-Dec-21,15-Mar-22,15-Mar-22,0.129565217,4.976807373,
477,4,A,13-Dec-21,15-Mar-22,15-Mar-22,0.16173913,2.29207967,
478,4,B,13-Dec-21,15-Mar-22,15-Mar-22,0.196521739,4.199890204,
479,4,C,13-Dec-21,15-Mar-22,15-Mar-22,1.139130435,21.47859506,
480,5,A,13-Dec-21,15-Mar-22,15-Mar-22,0.444347826,10.08419664,
481,5,B,13-Dec-21,15-Mar-22,15-Mar-22,0.623478261,7.412359551,
482,5,C,13-Dec-21,15-Mar-22,15-Mar-22,0.093043478,3.471441736,
483,6,A,13-Dec-21,15-Mar-22,15-Mar-22,2.002608696,1.581549152,
484,6,B,13-Dec-21,15-Mar-22,15-Mar-22,0.259130435,2.534809888,
485,6,C,13-Dec-21,15-Mar-22,15-Mar-22,2.873913043,21.41091935,
486,Blank,,,,,,,
487,Blank,,,,,,,
488,1,A,15-Mar-22,22-Jun-22,22-Jun-22,0.516363636,1.134905081,sample thawed after hurricane fiona due to island-wide power outage
489,1,B,15-Mar-22,22-Jun-22,22-Jun-22,2.492929293,8.252678997,sample thawed after hurricane fiona due to island-wide power outage
490,1,C,15-Mar-22,22-Jun-22,22-Jun-22,0.292525253,1.353404856,sample thawed after hurricane fiona due to island-wide power outage
491,2,A,15-Mar-22,22-Jun-22,22-Jun-22,1.41010101,1.929362596,sample thawed after hurricane fiona due to island-wide power outage
492,2,B,15-Mar-22,22-Jun-22,22-Jun-22,0.053333333,1.595623356,sample thawed after hurricane fiona due to island-wide power outage
493,2,C,15-Mar-22,22-Jun-22,22-Jun-22,0.081616162,4.667677483,sample thawed after hurricane fiona due to island-wide power outage
494,3,A,15-Mar-22,22-Jun-22,22-Jun-22,0.593131313,5.055921874,sample thawed after hurricane fiona due to island-wide power outage
495,3,B,15-Mar-22,22-Jun-22,22-Jun-22,0.093737374,3.334158023,sample thawed after hurricane fiona due to island-wide power outage
496,3,C,15-Mar-22,22-Jun-22,22-Jun-22,1.368888889,7.522309958,sample thawed after hurricane fiona due to island-wide power outage
497,4,A,15-Mar-22,22-Jun-22,22-Jun-22,0.426666667,5.936988675,sample thawed after hurricane fiona due to island-wide power outage
498,4,B,15-Mar-22,22-Jun-22,22-Jun-22,0.028282828,0.55655151,sample thawed after hurricane fiona due to island-wide power outage
499,4,C,15-Mar-22,22-Jun-22,22-Jun-22,0.03959596,1.081478052,sample thawed after hurricane fiona due to island-wide power outage
500,5,A,15-Mar-22,22-Jun-22,22-Jun-22,0.648888889,0.788108563,sample thawed after hurricane fiona due to island-wide power outage
501,5,B,15-Mar-22,22-Jun-22,22-Jun-22,0.074343434,2.200091483,sample thawed after hurricane fiona due to island-wide power outage
502,5,C,15-Mar-22,22-Jun-22,22-Jun-22,1.316363636,1.877013691,sample thawed after hurricane fiona due to island-wide power outage
503,6,A,15-Mar-22,22-Jun-22,22-Jun-22,8.162424242,1.388982944,sample thawed after hurricane fiona due to island-wide power outage
504,6,B,15-Mar-22,22-Jun-22,22-Jun-22,0.075959596,2.054065592,sample thawed after hurricane fiona due to island-wide power outage
505,6,C,15-Mar-22,22-Jun-22,22-Jun-22,0.433131313,3.891068908,sample thawed after hurricane fiona due to island-wide power outage
506,Blank,,,,,,,sample thawed after hurricane fiona due to island-wide power outage
507,Blank,,,,,,,sample thawed after hurricane fiona due to island-wide power outage
508,1,A,22-Jun-22,5-Oct-22,5-Oct-22,0.809142857,6.661460548,
509,1,B,22-Jun-22,5-Oct-22,5-Oct-22,0.083809524,7.937753876,
510,1,C,22-Jun-22,5-Oct-22,5-Oct-22,0.444952381,6.201317272,
511,2,A,22-Jun-22,5-Oct-22,5-Oct-22,0.262857143,3.987795445,
512,2,B,22-Jun-22,5-Oct-22,5-Oct-22,0.864,2.81891406,
513,2,C,22-Jun-22,5-Oct-22,5-Oct-22,0.253714286,5.714179827,
514,3,A,22-Jun-22,5-Oct-22,5-Oct-22,0.012952381,2.875951948,
515,3,B,22-Jun-22,5-Oct-22,5-Oct-22,0.713904762,13.23809841,sample ripped open during shaking
516,3,C,22-Jun-22,5-Oct-22,5-Oct-22,0.533333333,10.65625866,
517,4,A,22-Jun-22,5-Oct-22,5-Oct-22,0.024380952,3.25443504,
518,4,B,22-Jun-22,5-Oct-22,5-Oct-22,0.65447619,6.045677253,
519,4,C,22-Jun-22,5-Oct-22,5-Oct-22,1.140571429,12.65134232,
520,5,A,22-Jun-22,5-Oct-22,5-Oct-22,0.582857143,14.00839226,
521,5,B,22-Jun-22,5-Oct-22,5-Oct-22,0.841142857,6.865215695,
522,5,C,22-Jun-22,5-Oct-22,5-Oct-22,0.316190476,11.50934216,
523,6,A,22-Jun-22,5-Oct-22,5-Oct-22,0.396952381,6.613232472,
524,6,B,22-Jun-22,5-Oct-22,5-Oct-22,0.92647619,11.30558701,
525,6,C,22-Jun-22,5-Oct-22,5-Oct-22,0.451809524,16.09417181,
526,Blank,,,,,,,
527,Blank,,,,,,,
528,1,A,5-Oct-22,24-Jan-23,25-Jan-23,0.393513514,8.736183567,
529,1,B,5-Oct-22,24-Jan-23,25-Jan-23,0.238558559,6.962193841,
530,1,C,5-Oct-22,24-Jan-23,25-Jan-23,0.4,11.15624146,
531,2,A,5-Oct-22,24-Jan-23,25-Jan-23,0.235675676,6.497328188,
532,2,B,5-Oct-22,24-Jan-23,25-Jan-23,0.301261261,11.0788885,
533,2,C,5-Oct-22,24-Jan-23,25-Jan-23,0.227027027,4.959457306,
534,3,A,5-Oct-22,24-Jan-23,25-Jan-23,0.198918919,3.509516655,
535,3,B,5-Oct-22,24-Jan-23,25-Jan-23,0.278198198,11.43370781,
536,3,C,5-Oct-22,24-Jan-23,25-Jan-23,0.977297297,22.6347157,
537,4,A,5-Oct-22,24-Jan-23,25-Jan-23,0.021621622,18.398359,
538,4,B,5-Oct-22,24-Jan-23,25-Jan-23,0.554234234,15.65959409,
539,4,C,5-Oct-22,24-Jan-23,25-Jan-23,0.332972973,7.754420643,
540,5,A,5-Oct-22,24-Jan-23,25-Jan-23,0.681801802,4.309222334,
541,5,B,5-Oct-22,24-Jan-23,25-Jan-23,0.474234234,11.94419462,
542,5,C,5-Oct-22,24-Jan-23,25-Jan-23,0.386306306,19.07306059,
543,6,A,5-Oct-22,24-Jan-23,25-Jan-23,0.434594595,6.330976585,
544,6,B,5-Oct-22,24-Jan-23,25-Jan-23,0.704864865,8.129326084,
545,6,C,5-Oct-22,24-Jan-23,25-Jan-23,0.321441441,7.301093829,
546,Blank,,,,,,,capsule was frozen and had to be thawed before extraction
547,Blank,,,,,,,capsule was frozen and had to be thawed before extraction
548,1,A,24-Jan-23,24-apr-23,25-apr-23,0.904,3.320065381,
549,1,B,24-Jan-23,24-apr-23,25-apr-23,0.56,3.434386918,
551,,,24-Jan-23,24-apr-23,25-apr-23,0.400888889,5.443682738,Two vials were labeled identically as 551
551,,,24-Jan-23,24-apr-23,25-apr-23,0.315555556,5.547032658,
552,2,B,24-Jan-23,24-apr-23,25-apr-23,0.148444444,4.961744318,
553,2,C,24-Jan-23,24-apr-23,25-apr-23,0.251555556,3.004732991,
555,,A1,24-Jan-23,24-apr-23,25-apr-23,0.153777778,2.508843009,"Error occurred - tags 554, 555, 556 and 560, 561, 562 were all labeled the same and the error was noticed in the lab. These extractions were therefore labeled 555-A1, 555-A2, 555-B1, 555-B2, 555-C1, 555-C2. The plot can not be discerned (wether plot 3 or plot 5) but the locations (A, B, or C) are correct. "
555,,A2,24-Jan-23,24-apr-23,25-apr-23,0.091555556,2.722315451,
555,,B3,24-Jan-23,24-apr-23,25-Apr-23,0.235555556,4.907969851,
555,,B4,24-Jan-23,24-apr-23,25-apr-23,0.350222222,1.110977775,
555,,C5,24-Jan-23,24-apr-23,25-apr-23,0.196444444,2.167368372,
555,,C6,24-Jan-23,24-apr-23,25-apr-23,0.561777778,1.466268522,
557,4,A,24-Jan-23,24-apr-23,25-apr-23,0.192,5.958806913,
558,4,B,24-Jan-23,24-apr-23,25-apr-23,0.152888889,2.978455292,
559,4,C,24-Jan-23,24-apr-23,25-apr-23,0.162666667,6.161172287,
563,6,A,24-Jan-23,24-apr-23,25-apr-23,0.226666667,14.08010592,
564,6,B,24-Jan-23,24-apr-23,25-apr-23,0.427555556,15.31001061,
565,6,C,24-Jan-23,24-apr-23,25-apr-23,1.539555556,20.09173914,
566,Blank,,,,25-apr-23,,,
567,Blank,,,,25-apr-23,,,
568,1,A,24-apr-23,26-Jul-23,26-Jul-23,0.337634409,4.28312514,
569,1,B,24-apr-23,26-Jul-23,26-Jul-23,0.442580645,6.908710345,
570,1,C,24-apr-23,26-Jul-23,26-Jul-23,0.143225806,3.610146886,
571,2,A,24-apr-23,26-Jul-23,26-Jul-23,0.139784946,2.438661365,
572,2,B,24-apr-23,26-Jul-23,26-Jul-23,0.185376344,3.560859814,Resin was stepped on
573,2,C,24-apr-23,26-Jul-23,26-Jul-23,0.43827957,7.372611795,
574,3,A,24-apr-23,26-Jul-23,26-Jul-23,0.300645161,12.97822965,
575,3,B,24-apr-23,26-Jul-23,26-Jul-23,1.070537634,4.657628232,
576,3,C,24-apr-23,26-Jul-23,26-Jul-23,0.67311828,29.13560648,
577,4,A,24-apr-23,26-Jul-23,26-Jul-23,1.037849462,8.725384601,
578,4,B,24-apr-23,26-Jul-23,26-Jul-23,0.263655914,5.795818763,
579,4,C,24-apr-23,26-Jul-23,26-Jul-23,1.276989247,2.346641355,Resin was almost on surface
580,5,A,24-apr-23,26-Jul-23,26-Jul-23,0.777204301,4.920186753,
581,5,B,24-apr-23,26-Jul-23,26-Jul-23,0.526021505,14.4243333,
582,5,C,24-apr-23,26-Jul-23,26-Jul-23,0.218924731,4.421810569,
583,6,A,24-apr-23,26-Jul-23,26-Jul-23,0.451182796,6.584936233,
584,6,B,24-apr-23,26-Jul-23,26-Jul-23,0.158709677,5.194804876,
585,6,C,24-apr-23,26-Jul-23,26-Jul-23,0.28688172,6.732797447,
586,Blank,,,,,,,
587,Blank,,,,,,,
588,1,A,26-Jul-23,31-Oct-23,31-Oct-23,0.598762887,5.257829948,
589,1,B,26-Jul-23,31-Oct-23,31-Oct-23,1.13814433,4.516711695,
590,1,C,26-Jul-23,31-Oct-23,31-Oct-23,0.16742268,5.917258042,
591,2,A,26-Jul-23,31-Oct-23,31-Oct-23,0.371134021,8.931624886,
592,2,B,26-Jul-23,31-Oct-23,31-Oct-23,0.563298969,12.21431248,
593,2,C,26-Jul-23,31-Oct-23,31-Oct-23,0.164948454,12.38297124,
594,3,A,26-Jul-23,31-Oct-23,31-Oct-23,0.457731959,4.79018521,
595,3,B,26-Jul-23,31-Oct-23,31-Oct-23,0.507216495,20.74000012,
596,3,C,26-Jul-23,31-Oct-23,31-Oct-23,0.52371134,5.044430119,
597,4,A,26-Jul-23,31-Oct-23,31-Oct-23,0.165773196,3.693777608,
598,4,B,26-Jul-23,31-Oct-23,31-Oct-23,0.548453608,6.805292902,
599,4,C,26-Jul-23,31-Oct-23,31-Oct-23,1.622268041,10.74099906,
600,5,A,26-Jul-23,31-Oct-23,31-Oct-23,0.484948454,7.150276724,
601,5,B,26-Jul-23,31-Oct-23,31-Oct-23,0.367835052,4.516711695,
602,5,C,26-Jul-23,31-Oct-23,31-Oct-23,0.481649485,8.64797152,
603,6,A,26-Jul-23,31-Oct-23,31-Oct-23,0.291134021,6.197015415,
604,6,B,26-Jul-23,31-Oct-23,31-Oct-23,1.388865979,15.84210958,
605,6,C,26-Jul-23,31-Oct-23,31-Oct-23,0.859381443,15.52904775,
606,Blank,,,,,,,
607,Blank,,,,,,,
608,1,A,31-Oct-23,18-jan-24,18-jan-24,1.986835443,3.830961394,
609,1,B,31-Oct-23,18-jan-24,18-jan-24,0.265316456,3.98002724,
610,1,C,31-Oct-23,18-jan-24,18-jan-24,0.167088608,4.828900141,
611,2,A,31-Oct-23,18-jan-24,18-jan-24,0.14278481,16.79382617,
612,2,B,31-Oct-23,18-jan-24,18-jan-24,0.305822785,12.33002933,
613,2,C,31-Oct-23,18-jan-24,18-jan-24,0.312911392,20.22203202,
614,3,A,31-Oct-23,18-jan-24,18-jan-24,0.294683544,8.743344582,
615,3,B,31-Oct-23,18-jan-24,18-jan-24,0.264303797,11.70413795,
616,3,C,31-Oct-23,18-jan-24,18-jan-24,0.564050633,28.5829903,
617,4,A,31-Oct-23,18-jan-24,18-jan-24,1.383291139,13.92253403,
618,4,B,31-Oct-23,18-jan-24,18-jan-24,0.52556962,16.21638891,
619,4,C,31-Oct-23,18-jan-24,18-jan-24,1.110886076,9.852696932,
620,5,A,31-Oct-23,18-jan-24,18-jan-24,0.520506329,3.661526301,
621,5,B,31-Oct-23,18-jan-24,18-jan-24,0.558987342,13.00638089,
622,5,C,31-Oct-23,18-jan-24,18-jan-24,0.210632911,8.230409929,
623,6,A,31-Oct-23,18-jan-24,18-jan-24,0.314936709,7.053623029,
624,6,B,31-Oct-23,18-jan-24,18-jan-24,0.24,7.850646939,
625,6,C,31-Oct-23,18-jan-24,18-jan-24,0.342278481,8.475149508,
626,Blank,,,,,,,
627,Blank,,,,,,,
628,,,1/18/24,4/10/24,4/10/24,0.308433735,13.06909405,
629,,,1/18/24,4/10/24,4/10/24,0.203373494,5.769527679,
630,,,1/18/24,4/10/24,4/10/24,0.141686747,7.664309429,
631,,,1/18/24,4/10/24,4/10/24,0.30939759,12.68423172,
632,,,1/18/24,4/10/24,4/10/24,0.009638554,19.69417784,
633,,,1/18/24,4/10/24,4/10/24,6.534939759,14.28777069,
634,,,1/18/24,4/10/24,4/10/24,0.384578313,4.467291138,
635,,,1/18/24,4/10/24,4/10/24,0.028915663,12.33100858,
636,,,1/18/24,4/10/24,4/10/24,0.078072289,6.186353704,
637,,,1/18/24,4/10/24,4/10/24,0.034698795,11.314985,
638,,,1/18/24,4/10/24,4/10/24,2.568674699,8.435981119,
639,,,1/18/24,4/10/24,4/10/24,3.18746988,11.34840897,
640,,,1/18/24,4/10/24,4/10/24,3.919036145,1.779095897,
641,,,1/18/24,4/10/24,4/10/24,0,2.614208216,
642,,,1/18/24,4/10/24,4/10/24,0.501204819,4.366856997,
643,,,1/18/24,4/10/24,4/10/24,0.164819277,8.556372287,
644,,,1/18/24,4/10/24,4/10/24,0.180240964,7.505302226,
645,,,1/18/24,4/10/24,4/10/24,0.218795181,14.12032637,
646,Blank,,1/18/24,4/10/24,4/10/24,,,
647,Blank,,1/18/24,4/10/24,4/10/24,,,
648,,,4/10/24,9/4/24,9/4/24,0.34585034,9.597345181,
649,,,4/10/24,9/4/24,9/4/24,0.346394558,8.194768318,
650,,,4/10/24,9/4/24,9/4/24,0.554285714,11.74179451,
651,,,4/10/24,9/4/24,9/4/24,0.058503401,15.59681962,
652,,,4/10/24,9/4/24,9/4/24,0.128707483,21.55662614,
653,,,4/10/24,9/4/24,9/4/24,0.611972789,19.770379,
654,,,4/10/24,9/4/24,9/4/24,0.411156463,4.127112193,
655,,,4/10/24,9/4/24,9/4/24,0.337687075,13.97693953,
656,,,4/10/24,9/4/24,9/4/24,0.253333333,15.48908412,
657,,,4/10/24,9/4/24,9/4/24,0.623401361,12.95711683,
658,,,4/10/24,9/4/24,9/4/24,0.227755102,14.11866301,
659,,,4/10/24,9/4/24,9/4/24,0.276734694,11.75407049,
660,,,4/10/24,9/4/24,9/4/24,0.235918367,2.4032527,
661,,,4/10/24,9/4/24,9/4/24,0.242993197,7.604146958,
662,,,4/10/24,9/4/24,9/4/24,0.429115646,6.964238441,
663,,,4/10/24,9/4/24,9/4/24,0.487346939,6.620236082,
664,,,4/10/24,9/4/24,9/4/24,0.33170068,11.13120177,
665,,,4/10/24,9/4/24,9/4/24,0.380680272,10.40160529,
666,Blank,,4/10/24,9/4/24,9/4/24,,,
667,Blank,,4/10/24,9/4/24,9/4/24,,,