Core,type,plot,treatment,Length.cm,Ave. Diam.mm,Volume,dryroots.g,dry.roots.mg,RSL,RML.g.cm,date,Year,Method
7,rsr,1,C,195.012,0.387,0.229,0.092,92,2119.695652,0.000471766,Jul ,2017,Ingrowth
7,remain,1,C,194.32,0.293,0.131,0.036,36,5397.777778,0.000185261,Jul,2017,Ingrowth
9,rsr,4,W,629.026,0.3805,0.333,0.213,213,2953.173709,0.000338619,Jul,2017,Ingrowth
9,remain,4,W,289.91,0.329,0.247,0.06,60,4831.833333,0.000206961,Jul,2017,Ingrowth
14,remain,2,W,102.512,0.294,0.07,0.016,16,6407,0.000156079,Jul,2017,Ingrowth
14,rsr,2,W,133.984,0.361,0.137,0.056,56,2392.571429,0.00041796,Jul,2017,Ingrowth
3,remain,3,C,289.129,0.478,0.519,0.128,128,2258.820313,0.000442709,Jul,2017,Ingrowth
3,rsr,3,C,310.753,0.524,0.67,0.216,216,1438.671296,0.000695086,Jul,2017,Ingrowth
2,remain,5,C,409.453,0.327,0.345,0.074,74,5533.148649,0.000180729,Jul,2017,Ingrowth
2,rsr,5,C,202.19,0.375,0.223,0.058,58,3486.034483,0.000286859,Jul,2017,Ingrowth
1,rsr,6,W,439.361,0.33,0.376,0.217,217,2024.705069,0.000493899,Jul,2017,Ingrowth
1,remain,6,W,662.904,0.573,0.305,0.106,106,6253.811321,0.000159902,Jul,2017,Ingrowth
10,rsr,6,W,233.749,0.434,0.345,0.097,97,2409.783505,0.000414975,Jul,2017,Ingrowth
10,remain,6,W,176.121,0.513,0.364,0.172,172,1023.959302,0.000976601,Jul,2017,Ingrowth
12,rsr,3,C,243.628,0.486,0.453,0.133,133,1831.789474,0.000545914,Jul,2017,Ingrowth
12,remain,3,C,301.604,0.398,0.376,0.086,86,3507.023256,0.000285142,Jul,2017,Ingrowth
5,rsr,1,C,264.446,0.456,0.433,0.108,108,2448.574074,0.000408401,Jul,2017,Ingrowth
5,remain,1,C,273.188,0.306,0.201,0.039,39,7004.820513,0.000142759,Jul,2017,Ingrowth
15,remain,4,W,314.791,0.367,0.333,0.091,91,3459.241758,0.000289081,Jul,2017,Ingrowth
15,rsr,4,W,542.256,0.3315,0.196,0.205,205,2645.15122,0.00037805,Jul,2017,Ingrowth
13,remain,5,C,391.531,0.311,0.297,0.058,58,6750.534483,0.000148136,Jul,2017,Ingrowth
13,rsr,5,C,349.853,0.371,0.378,0.102,102,3429.931373,0.000291551,Jul,2017,Ingrowth
6,rsr,2,W,169.42,0.426,0.242,0.098,98,1728.77551,0.000578444,Jul,2017,Ingrowth
6,remain,2,W,158.62,0.35,0.153,0.04,40,3965.5,0.000252175,Jul,2017,Ingrowth
4,remain,4,W,228.713,0.376,0.254,0.064,64,3573.640625,0.000279827,Jul,2017,Ingrowth
4,rsr,4,W,376.613,0.387,0.442,0.156,156,2414.185897,0.000414218,Jul,2017,Ingrowth
17,remain,1,C,262.544,0.365,0.274,0.107,107,2453.682243,0.000407551,Jul,2017,Ingrowth
17,rsr,1,C,173.509,0.386,0.203,0.055,55,3154.709091,0.000316986,Jul,2017,Ingrowth
18,rsr,3,C,302.937,0.481,0.55,0.168,168,1803.196429,0.000554571,Jul,2017,Ingrowth
11,rsr,5,C,470.459,0.4855,0.451,0.28,280,1680.210714,0.000595163,Jul,2017,Ingrowth
11,remain,5,C,409.675,0.401,0.518,0.148,148,2768.074324,0.000361262,Jul,2017,Ingrowth
16,rsr,6,W,70.408,0.276,0.042,0.012,12,5867.333333,0.000170435,Jul,2017,Ingrowth
16,remain,6,W,33.119,0.329,0.028,0.007,7,4731.285714,0.000211359,Jul,2017,Ingrowth
8,remain,2,W,186.308,0.239,0.126,0.036,36,5175.222222,0.000193228,Jul,2017,Ingrowth
8,rsr,2,W,293.854,0.387,0.345,0.136,136,2160.691176,0.000462815,Jul,2017,Ingrowth
21,rsr,1,C,64.753,0.297,0.045,0.013,13,4981,0.043771044,Nov,2017,Ingrowth
21,remain,1,C,109.837,0.322,0.089,0.025,25,4393.48,0.077639752,Nov,2017,Ingrowth
22,rsr,4,W,174.06,0.355,0.172,0.054,54,3223.333333,0.152112676,Nov,2017,Ingrowth
22,remain,4,W,229.678,0.33,0.196,0.063,63,3645.68254,0.190909091,Nov,2017,Ingrowth
23,remain,2,W,44.306,0.368,0.047,0.007,7,6329.428571,0.019021739,Nov,2017,Ingrowth
23,rsr,2,W,116.039,0.528,0.254,0.032,32,3626.21875,0.060606061,Nov,2017,Ingrowth
24,rsr,3,C,149.913,0.588,0.407,0.08,80,1873.9125,0.136054422,Nov,2017,Ingrowth
24,remain,3,C,77.07,0.43,0.112,0.03,30,2569,0.069767442,Nov,2017,Ingrowth
25,rsr,5,C,93.501,0.389,0.111,0.109,109,857.8073394,0.280205656,Nov,2017,Ingrowth
25,remain,5,C,55.737,0.33,0.048,0.012,12,4644.75,0.036363636,Nov,2017,Ingrowth
26,rsr,6,W,79.561,0.389,0.1,0.038,38,2093.710526,0.097686375,Nov,2017,Ingrowth
26,remain,6,W,58.716,0.325,0.049,0.014,14,4194,0.043076923,Nov,2017,Ingrowth
27,rsr,6,W,229.497,0.344,0.214,0.054,54,4249.944444,0.156976744,Nov,2017,Ingrowth
27,remain,6,W,238.203,0.29,0.157,0.047,47,5068.148936,0.162068966,Nov,2017,Ingrowth
28,rsr,3,C,270.636,0.234,0.117,0.031,31,8730.193548,0.132478632,Nov,2017,Ingrowth
28,remain,3,C,336.748,0.253,0.169,0.036,36,9354.111111,0.14229249,Nov,2017,Ingrowth
29,rsr,1,C,125.085,0.329,0.106,0.032,32,3908.90625,0.097264438,Nov,2017,Ingrowth
29,remain,1,C,140.671,0.284,0.089,0.027,27,5210.037037,0.095070423,Nov,2017,Ingrowth
30,rsr,4,W,63.485,0.462,0.106,0.026,26,2441.730769,0.056277056,Nov,2017,Ingrowth
30,remain,4,W,59.499,0.321,0.048,0.017,17,3499.941176,0.052959502,Nov,2017,Ingrowth
31,rsr,5,C,123.37,0.649,0.408,0.095,95,1298.631579,0.146379045,Nov,2017,Ingrowth
31,remain,5,C,95.604,0.356,0.095,0.02,20,4780.2,0.056179775,Nov,2017,Ingrowth
32,rsr,2,W,168.088,0.397,0.208,0.087,87,1932.045977,0.219143577,Nov,2017,Ingrowth
32,remain,2,W,88.581,0.318,0.07,0.019,19,4662.157895,0.059748428,Nov,2017,Ingrowth
33,rsr,4,W,139.793,0.276,0.084,0.02,20,6989.65,0.072463768,Nov,2017,Ingrowth
33,remain,4,W,153.912,0.35,0.148,0.049,49,3141.061224,0.14,Nov,2017,Ingrowth
34,rsr,1,C,48.791,0.294,0.033,0.008,8,6098.875,0.027210884,Nov,2017,Ingrowth
34,remain,1,C,93.02,0.305,0.068,0.018,18,5167.777778,0.059016393,Nov,2017,Ingrowth
35,rsr,3,C,258.716,0.286,0.166,0.027,27,9582.074074,0.094405594,Nov,2017,Ingrowth
35,remain,3,C,134.139,0.265,0.074,0.014,14,9581.357143,0.052830189,Nov,2017,Ingrowth
36,rsr,5,C,142.24,0.222,0.055,0.011,11,12930.90909,0.04954955,Nov,2017,Ingrowth
36,remain,5,C,83.529,0.211,0.029,0.005,5,16705.8,0.023696682,Nov,2017,Ingrowth
37,remain,6,W,30.737,0.321,0.025,0.008,8,3842.125,0.024922118,Nov,2017,Ingrowth
37,rsr,6,W,37.62,0.246,0.018,0.004,4,9405,0.016260163,Nov,2017,Ingrowth
38,remain,2,W,34.199,0.378,0.038,0.009,9,3799.888889,0.023809524,Nov,2017,Ingrowth
38,rsr,2,W,30.621,0.37,0.033,0.009,9,3402.333333,0.024324324,Nov,2017,Ingrowth
34,rsr,3,C,795.059,0.24125,,0.112,,7098.741071,0.00014087,Mar,2018,Ingrowth
21,rsr,1,C,711.061,0.31,,0.142,,5007.471831,0.000199702,Mar,2018,Ingrowth
33,rsr,2,W,288.176,0.382,,0.069,,4176.463768,0.000239437,Mar,2018,Ingrowth
36,rsr,5,C,243.845,0.441,,0.034,,7171.911765,0.000139433,Mar,2018,Ingrowth
37,rsr,4,W,340.883,0.268,,0.131,,2602.160305,0.000384296,Mar,2018,Ingrowth
32,rsr,6,W,502.678,0.336,,0.152,,3307.092105,0.00030238,Mar,2018,Ingrowth
30,rsr,1,C,361.959,0.310333333,,0.263,,1376.269962,0.000726602,Mar,2018,Ingrowth
26,rsr,4,W,403.9843333,0.244,,0.19,,2126.233333,0.000470315,Mar,2018,Ingrowth
23,rsr,3,C,414.8063333,0.274666667,,0.24,,1728.359722,0.000578583,Mar,2018,Ingrowth
35,rsr,6,W,548.744,0.191,,0.079,,6946.126582,0.000143965,Mar,2018,Ingrowth
31,rsr,2,W,255.174,0.412,,0.149,,1712.577181,0.000583915,Mar,2018,Ingrowth
28,rsr,5,C,183.642,0.202,,0.02,,9182.1,0.000108908,Mar,2018,Ingrowth
24,rsr,5,C,510.57,0.315,,0.097,,5263.608247,0.000189984,Mar,2018,Ingrowth
38,rsr,1,C,479.299,0.295,,0.089,,5385.382022,0.000185688,Mar,2018,Ingrowth
27,rsr,4,W,440.684,0.202,,0.036,,12241.22222,8.17E-05,Mar,2018,Ingrowth
29,rsr,3,C,654.9,0.242,,0.094,,6967.021277,0.000143533,Mar,2018,Ingrowth
22,rsr,6,W,511.043,0.27,,0.118,,4330.872881,0.0002309,Mar,2018,Ingrowth
25,rsr,2,W,385.976,0.266,,0.063,,6126.603175,0.000163223,Mar,2018,Ingrowth
41,rsr,5,C,643.951,0.35,,0.202,,3187.876238,0.000313688,Mar,2018,Ingrowth
41,remain,3,C,2099.065,0.185,,0.108,,19435.78704,5.15E-05,Jul,2018,Ingrowth
41,rsr,3,C,1784.36,0.189,,0.173,,10314.21965,9.70E-05,Jul,2018,Ingrowth
42,remain,1,C,496.676,0.147,,0.022,,22576.18182,4.43E-05,Jul,2018,Ingrowth
42,rsr,1,C,587.428,0.195,,0.055,,10680.50909,9.36E-05,Jul,2018,Ingrowth
43,rsr,2,W,786.028,0.2555,,0.139,,5654.877698,0.000176838,Jul,2018,Ingrowth
43,remain,2,W,736.438,0.153,,0.035,,21041.08571,4.75E-05,Jul,2018,Ingrowth
44,rsr,5,C,1181.056,0.1926,,0.108,,10935.7037,9.14E-05,Jul,2018,Ingrowth
44,remain,5,C,950.693,0.154,,0.03,,31689.76667,3.16E-05,Jul,2018,Ingrowth
45,remain,4,W,907.001,0.1167,,0.058,,15637.94828,6.39E-05,Jul,2018,Ingrowth
45,rsr,4,W,772.221,0.255,,0.147,,5253.204082,0.00019036,Jul,2018,Ingrowth
46,remain,6,W,510.113,0.217,,0.177,,2881.99435,0.000346982,Jul,2018,Ingrowth
46,rsr,6,W,580.193,0.304,,0.06,,9669.883333,0.000103414,Jul,2018,Ingrowth
47,remain,1,C,496.63,0.186,,0.036,,13795.27778,7.25E-05,Jul,2018,Ingrowth
47,rsr,1,C,462.14,0.268,,0.095,,4864.631579,0.000205565,Jul,2018,Ingrowth
48,remain,4,W,1934.165,0.1232,,0.06,,32236.08333,3.10E-05,Jul,2018,Ingrowth
48,rsr,4,W,2504.644,0.173,,0.193,,12977.43005,7.71E-05,Jul,2018,Ingrowth
49,remain,3,C,693.908,0.17,,0.037,,18754.27027,5.33E-05,Jul,2018,Ingrowth
49,rsr,3,C,1124.199,0.202,,0.109,,10313.75229,9.70E-05,Jul,2018,Ingrowth
50,remain,6,W,199.9,0.188,,0.017,,11758.82353,8.50E-05,Jul,2018,Ingrowth
50,rsr,6,W,546.141,0.283,,0.126,,4334.452381,0.00023071,Jul,2018,Ingrowth
51,remain,2,W,446.565,0.193,,0.035,,12759,7.84E-05,Jul,2018,Ingrowth
51,rsr,2,W,676.463,0.364,,0.22,,3074.831818,0.000325221,Jul,2018,Ingrowth
52,rsr,5,C,1155.612,0.237,,0.136,,8497.147059,0.000117687,Jul,2018,Ingrowth
52,remain,5,C,1314.252,0.151,,0.053,,24797.20755,4.03E-05,Jul,2018,Ingrowth
53,rsr,5,C,1692.876,0.209,,0.162,,10449.85185,9.57E-05,Jul,2018,Ingrowth
53,remain,5,C,1457.388,0.145,,0.056,,26024.78571,3.84E-05,Jul,2018,Ingrowth
54,remain,1,C,711.509,0.153,,0.026,,27365.73077,3.65E-05,Jul,2018,Ingrowth
54,rsr,1,C,409.182,0.352,,0.098,,4175.326531,0.000239502,Jul,2018,Ingrowth
55,rsr,4,W,1555.284,0.159,,0.119,,13069.61345,7.65E-05,Jul,2018,Ingrowth
55,remain,4,W,775.983,0.125,,0.024,,32332.625,3.09E-05,Jul,2018,Ingrowth
56,rsr,3,C,1579.161,0.217,,0.169,,9344.147929,0.000107019,Jul,2018,Ingrowth
56,remain,3,C,1051.021,0.1698,,0.053,,19830.58491,5.04E-05,Jul,2018,Ingrowth
57,remain,6,W,384.911,0.259,,0.057,,6752.824561,0.000148086,Jul,2018,Ingrowth
57,rsr,6,W,791.669,0.305,,0.229,,3457.069869,0.000289262,Jul,2018,Ingrowth
58,rsr,2,W,1172.838,0.2905,,0.252,,4654.119048,0.000214863,Jul,2018,Ingrowth
58,remain,2,W,502.508,0.192,,0.037,,13581.2973,7.36E-05,Jul,2018,Ingrowth
1,remain,6,W,180.253,0.294,,0.055,,3277.327273,0.000305127,Mar,2017,Soil core
1,rsr,6,W,497.929,0.451,,0.289,,1722.937716,0.000580404,Mar,2017,Soil core
2,remain,5,C,84.678,0.366,,0.023,,3681.652174,0.000271617,Mar,2017,Soil core
2,rsr,5,C,398.358,0.551,,0.314,,1268.656051,0.000788236,Mar,2017,Soil core
3,remain,3,C,391.129,0.493,,0.199,,1965.472362,0.000508784,Mar,2017,Soil core
3,rsr,3,C,476.728,0.554,,0.396,,1203.858586,0.000830662,Mar,2017,Soil core
4,remain,4,W,104.191,0.348,,0.028,,3721.107143,0.000268737,Mar,2017,Soil core
4,rsr,4,W,327.195,0.458,,0.29,,1128.258621,0.000886322,Mar,2017,Soil core
5,remain,1,C,258.754,0.59,,0.235,,1101.080851,0.000908199,Mar,2017,Soil core
5,rsr,1,C,344.68,0.543,,0.331,,1041.329305,0.000960311,Mar,2017,Soil core
6,remain,2,W,37.301,0.369,,0.012,,3108.416667,0.000321707,Mar,2017,Soil core
6,rsr,2,W,237.539,0.463,,0.224,,1060.441964,0.000943003,Mar,2017,Soil core
7,remain,1,C,185.963,0.379,,0.074,,2513.013514,0.000397929,Mar,2017,Soil core
7,rsr,1,C,615.329,0.5253,,0.568,,1083.325704,0.000923083,Mar,2017,Soil core
8,remain,2,W,85.433,0.476,,0.09,,949.2555556,0.001053457,Mar,2017,Soil core
8,rsr,2,W,267.919,0.4695,,0.22,,1217.813636,0.000821144,Mar,2017,Soil core
9,remain,4,W,124.763,0.352,,0.045,,2772.511111,0.000360684,Mar,2017,Soil core
9,rsr,4,W,401.041,0.445,,0.28,,1432.289286,0.000698183,Mar,2017,Soil core
10,remain,6,W,78.94,0.434,,0.031,,2546.451613,0.000392703,Mar,2017,Soil core
10,rsr,6,W,398.21,0.538,,0.333,,1195.825826,0.000836242,Mar,2017,Soil core
11,remain,5,C,123.15,0.565,,0.144,,855.2083333,0.001169306,Mar,2017,Soil core
11,rsr,5,C,433.538,0.552,,0.471,,920.462845,0.00108641,Mar,2017,Soil core
12,remain,3,C,185.367,0.503,,0.231,,802.4545455,0.001246177,Mar,2017,Soil core
12,rsr,3,C,715.213,0.566,,0.708,,1010.187853,0.000989915,Mar,2017,Soil core
13,remain,5,C,7.093,0.201,,0.097,,73.12371134,0.013675455,Mar,2017,Soil core
13,rsr,5,C,673.712,0.501333333,,0.566,,1190.303887,0.000840122,Mar,2017,Soil core
14,remain,2,W,9.723,0.321,,,,,,Mar,2017,Soil core
14,rsr,2,W,170.65,0.535,,0.194,,879.6391753,0.00113683,Mar,2017,Soil core
15,remain,4,W,207.352,0.3775,,0.071,,2920.450704,0.000342413,Mar,2017,Soil core
15,rsr,4,W,393.78,0.62,,0.501,,785.988024,0.001272284,Mar,2017,Soil core
16,remain,6,W,100.516,0.385,,0.041,,2451.609756,0.000407895,Mar,2017,Soil core
16,rsr,6,W,251.606,0.517,,0.007,,35943.71429,2.78E-05,Mar,2017,Soil core
17,remain,1,C,78.386,0.389,,0.024,,3266.083333,0.000306177,Mar,2017,Soil core
17,rsr,1,C,391.901,0.64,,0.633,,619.1169036,0.001615204,Mar,2017,Soil core
18,remain,3,C,125.908,0.516,,0.081,,1554.419753,0.000643327,Mar,2017,Soil core
18,rsr,3,C,386.374,0.6659,,0.495,,780.5535354,0.001281142,Mar,2017,Soil core
1,rsr,3,C,662.253,0.3265,,0.304,,2178.463816,0.000459039,Mar,2018,Soil core
1,remain,3,C,813,0.231,,0.17,,4782.352941,0.000209102,Mar,2018,Soil core
2,rsr,1,C,486.37,0.357,,0.271,,1794.723247,0.000557189,Mar,2018,Soil core
2,remain,1,C,1215.12,0.287,,0.441,,2755.37415,0.000362927,Mar,2018,Soil core
3,rsr,2,W,341.285,0.566,,0.224,,1523.59375,0.000656343,Mar,2018,Soil core
3,remain,2,W,329.415,0.419,,0.087,,3786.37931,0.000264105,Mar,2018,Soil core
4,remain,5,C,516.524,0.251,,0.075,,6886.986667,0.000145201,Mar,2018,Soil core
4,rsr,5,C,373.478,0.361,,0.158,,2363.78481,0.00042305,Mar,2018,Soil core
5,remain,4,W,623.505,0.223,,0.158,,3946.234177,0.000253406,Mar,2018,Soil core
5,rsr,4,W,367.768,0.35,,0.22,,1671.672727,0.000598203,Mar,2018,Soil core
6,remain,6,W,168.426,0.242,,0.033,,5103.818182,0.000195932,Mar,2018,Soil core
6,rsr,6,W,212.143,0.469,,0.198,,1071.429293,0.000933333,Mar,2018,Soil core
7,rsr,1,C,580.992,0.392,,0.329,,1765.933131,0.000566273,Mar,2018,Soil core
7,remain,1,C,672.537,0.263,,0.144,,4670.395833,0.000214115,Mar,2018,Soil core
8,rsr,4,W,467.669,0.403,,0.284,,1646.721831,0.000607267,Mar,2018,Soil core
8,remain,4,W,667.483,0.225,,0.11,,6068.027273,0.000164798,Mar,2018,Soil core
9,rsr,3,C,517.372,0.32,,0.193,,2680.683938,0.000373039,Mar,2018,Soil core
9,remain,3,C,853.155,0.243,,0.131,,6512.633588,0.000153548,Mar,2018,Soil core
10,remain,6,W,153.138,0.281,,0.05,,3062.76,0.000326503,Mar,2018,Soil core
10,rsr,6,W,336.514,0.47,,0.261,,1289.32567,0.000775599,Mar,2018,Soil core
11,remain,2,W,61.097,0.37,,0.025,,2443.88,0.000409185,Mar,2018,Soil core
11,rsr,2,W,293.688,0.472,,0.111,,2645.837838,0.000377952,Mar,2018,Soil core
12,remain,5,C,188.485,0.211,,0.032,,5890.15625,0.000169775,Mar,2018,Soil core
12,rsr,5,C,317.807,0.43,,0.26,,1222.334615,0.000818107,Mar,2018,Soil core
13,remain,5,C,403.903,0.238,,0.057,,7086.017544,0.000141123,Mar,2018,Soil core
13,rsr,5,C,450.733,0.368,,0.198,,2276.429293,0.000439284,Mar,2018,Soil core
14,remain,1,C,441.802,0.251,,0.08,,5522.525,0.000181077,Mar,2018,Soil core
14,rsr,1,C,492.757,0.409,,0.276,,1785.351449,0.000560114,Mar,2018,Soil core
15,rsr,4,W,669.186,0.286,,0.109,,6139.321101,0.000162884,Mar,2018,Soil core
15,remain,4,W,604.337,0.219,,0.05,,12086.74,8.27E-05,Mar,2018,Soil core
16,remain,3,C,717.787,0.255,,0.113,,6352.097345,0.000157428,Mar,2018,Soil core
16,rsr,3,C,546.029,0.471,,0.436,,1252.360092,0.000798492,Mar,2018,Soil core
17,rsr,6,W,315.93,0.44,,0.247,,1279.068826,0.000781819,Mar,2018,Soil core
17,remain,6,W,176.005,0.217,,0.036,,4889.027778,0.00020454,Mar,2018,Soil core
18,rsr,2,W,569.348,0.528,,0.408,,1395.460784,0.000716609,Mar,2018,Soil core
18,remain,2,W,470.722,0.289,,0.101,,4660.613861,0.000214564,Mar,2018,Soil core
