Date,Direction,Location,LAI Plot 1,LAI Plot 2,LAI Plot 3,LAI Plot 4,LAI Plot 5,LAI Plot 6,Average,SE,LAI Weather Station
2017-08-04,unknown,inside,6.97,6.38,6.33,6.06,6.50,6.59,6.47,0.123973563,NA
2018-01-11,unknown,inside,0.60,0.35,0.38,0.47,0.28,0.27,0.39,0.051213063,NA
2018-01-29,unknown,inside,0.56,0.46,0.56,0.58,0.38,0.67,0.54,0.041291646,NA
2018-08-27,west,outside,1.98,1.23,1.10,2.16,1.04,1.88,1.57,0.202447524,NA
2018-12-13,west,outside,4.35,3.92,4.79,3.00,3.54,3.77,3.90,0.255039213,NA
2019-02-07,west,outside,3.91,2.95,4.70,3.67,3.78,4.26,3.88,0.240602254,NA
2019-03-07,west,outside,3.53,3.89,4.86,3.74,4.64,4.69,4.23,0.232533152,NA
2019-04-10,west,outside,4.37,4.09,5.20,3.58,3.79,4.30,4.22,0.230989418,NA
2019-05-22,west,outside,4.58,3.55,5.70,3.37,4.39,4.17,4.29,0.341102787,NA
2019-07-11,west,outside,4.29,3.97,5.07,3.07,4.34,3.85,4.10,0.269251019,2.92
2019-07-11,center,outside,4.87,4.17,6.05,3.46,4.90,3.96,4.57,0.372087953,2.40
2019-08-23,west,outside,4.78,4.62,6.73,3.93,4.86,4.08,4.83,0.40946849,3.32
2019-08-23,center,outside,4.66,4.46,6.82,3.16,5.08,4.54,4.79,0.48477257,2.81
2019-09-19,west,outside,6.08,5.46,6.61,4.54,5.23,4.51,5.41,0.341103601,NA
2019-09-19,center,outside,5.92,5.68,7.32,4.99,6.08,4.73,5.79,0.374945922,NA
2019-10-30,west,outside,6.35,6.75,7.03,5.31,5.61,5.13,6.03,0.322779595,7.05
2019-10-30,center,outside,6.49,6.92,7.46,5.31,6.48,5.14,6.30,0.370773965,6.23
2020-02-27,west,outside,3.67,3.13,3.70,2.74,2.10,2.24,2.93,0.281756396,3.30
2020-02-27,center,outside,3.67,3.00,3.91,3.11,2.15,2.32,3.03,0.286922367,3.47
2020-05-21,west,outside,5.80,5.44,6.22,5.07,4.85,5.07,5.41,0.212436919,6.33
2020-05-21,center,outside,6.18,5.18,6.61,5.63,4.52,4.51,5.44,0.352679426,5.86
2020-07-02,west,outside,5.56,5.36,5.79,4.75,4.51,4.29,5.04,0.24918088,5.41
2020-07-02,center,outside,5.82,5.21,6.01,5.05,4.45,3.92,5.08,0.325204209,5.72
2020-08-21,west,outside,6.09,5.52,6.21,5.42,4.22,4.11,5.26,0.369174003,5.66
2020-08-21,center,outside,6.11,5.77,6.48,5.72,3.39,4.11,5.26,0.50006444,5.24
2020-09-23,west,outside,6.36,5.41,6.40,5.04,3.89,4.16,5.21,0.434066047,5.74
2020-09-23,center,outside,6.30,5.43,6.77,5.75,4.20,4.23,5.45,0.432285914,4.89
2020-10-21,west,outside,6.34,5.82,6.57,5.14,4.88,4.62,5.56,0.327540498,6.07
2020-10-21,center,outside,6.51,5.78,6.83,5.76,4.82,4.52,5.70,0.370123103,6.16
2020-11-24,west,outside,6.59,6.15,6.42,5.79,5.17,4.78,5.82,0.292502612,6.45
2020-11-24,center,outside,6.65,5.97,6.75,6.21,5.29,4.78,5.94,0.316337548,6.57
2020-12-22,west,outside,6.78,6.02,6.14,5.72,4.88,4.98,5.75,0.296453107,6.54
2020-12-22,center,outside,6.73,6.08,6.32,6.51,5.63,4.98,6.04,0.262594956,7.05
2021-01-21,west,outside,5.93,5.64,5.70,5.49,4.65,4.56,5.33,0.236212005,6.01
2021-01-21,center,outside,6.16,5.74,5.88,6.09,5.45,4.77,5.68,0.210006614,5.89
2021-02-21,west,outside,6.03,5.87,5.80,5.33,4.85,4.59,5.41,0.240865338,5.93
2021-02-21,center,outside,6.11,5.69,5.88,6.05,5.33,4.52,5.60,0.244153868,5.80
2021-03-31,west,outside,5.32,5.13,5.43,4.96,4.48,4.17,4.92,0.201804361,5.40
2021-03-31,center,outside,5.54,5.53,5.50,5.60,4.95,4.19,5.22,0.227675451,5.54
2021-04-22,west,outside,5.09,5.55,5.39,4.76,4.61,4.19,4.93,0.208205294,5.58
2021-04-22,center,outside,5.51,5.38,5.69,5.25,4.98,4.13,5.16,0.227532659,5.31
2021-05-20,west,outside,5.40,5.52,5.74,4.84,4.68,4.13,5.05,0.248118475,5.60
2021-05-20,center,outside,5.54,5.62,5.64,4.89,5.00,4.19,5.15,0.232718237,5.31
2021-07-22,west,outside,5.92,5.28,6.00,5.16,5.02,4.14,5.25,0.277208305,6.07
2021-07-22,center,outside,6.10,5.48,6.10,5.29,5.92,4.40,5.55,0.266888449,6.27
2021-09-23,west,outside,6.27,5.87,6.09,4.76,5.28,4.23,5.42,0.328893769,6.17
2021-09-23,center,outside,6.60,5.99,5.94,5.02,5.65,4.22,5.57,0.341838168,5.94
2021-12-09,west,outside,6.90,6.41,6.64,5.94,5.98,5.01,6.15,0.273418686,6.95
2021-12-09,center,outside,7.03,6.27,6.47,6.36,6.52,5.24,6.32,0.240620725,7.03
2022-02-18,west,outside,5.84,5.44,5.32,4.73,5.13,4.41,5.15,0.209232725,5.26
2022-02-18,center,outside,5.87,5.55,5.29,5.26,5.27,4.63,5.31,0.167140992,5.60
2022-04-14,west,outside,5.69,5.26,5.35,5.00,5.21,4.81,5.22,0.12328828,5.60
2022-04-14,center,outside,5.35,5.33,5.33,5.11,5.44,4.43,5.17,0.153574086,5.32
2022-06-08,west,outside,4.95,4.74,4.79,4.31,4.80,3.83,4.57,0.172220789,5.15
2022-06-08,center,outside,4.72,4.72,4.91,4.46,4.78,3.67,4.54,0.184619729,4.91
2022-08-16,west,outside,6.02,4.92,5.27,4.80,5.34,3.85,5.03,0.293889624,5.51
2022-08-16,center,outside,5.67,5.03,5.57,4.95,5.51,3.65,5.06,0.307448279,5.48
2022-10-18,west,outside,6.08,5.05,5.71,5.09,5.12,4.18,5.21,0.265565434,5.07
2022-10-18,center,outside,5.80,5.17,5.70,5.14,5.51,3.93,5.21,0.278273447,5.13
2022-12-08,west,outside,5.90,5.28,5.68,5.18,5.36,4.58,5.33,0.185813527,5.76
2022-12-08,center,outside,5.85,5.39,5.74,5.54,5.43,4.31,5.38,0.225354042,5.78
2023-02-08,west,outside,5.66,5.31,5.48,5.14,5.17,4.53,5.22,0.158550728,5.76
2023-02-08,center,outside,5.72,5.64,5.41,5.24,5.12,4.37,5.25,0.199164923,5.78
2023-04-13,west,outside,5.20,4.60,4.93,4.81,4.74,4.36,4.77,0.116895015,4.86
2023-04-13,center,outside,5.14,4.89,4.97,4.81,4.71,3.99,4.75,0.16359333,4.92
2023-06-27,west,outside,5.87,4.95,5.08,4.86,5.28,4.65,5.12,0.173872559,5.56
2023-06-27,center,outside,5.42,4.98,5.06,4.72,5.49,4.19,4.98,0.195936498,5.44
2023-09-08,west,outside,5.41,5.97,5.48,5.78,5.62,5.80,5.68,0.086589709,4.35
2023-09-08,center,outside,6.15,5.28,5.48,5.33,5.12,4.74,5.35,0.190368065,5.78
2023-11-14,west,outside,5.47,5.55,5.95,5.43,4.91,5.17,5.41,0.144075597,5.78
2023-11-14,center,outside,6.10,5.86,5.48,5.58,5.45,5.17,5.61,0.134106094,5.80
2024-01-17,west,outside,5.57,5.68,5.31,5.30,4.97,5.20,5.34,0.104480195,5.70
2024-01-17,center,outside,5.34,5.67,5.22,5.97,5.05,4.92,5.36,0.161026223,5.37
2024-03-15,west,outside,5.61,5.36,5.09,5.53,4.91,4.98,5.25,0.120295931,5.50
2024-03-15,center,outside,5.69,5.32,5.35,5.57,4.93,5.07,5.32,0.117598658,5.88
2024-05-10,west,outside,5.64,5.02,5.12,5.15,5.00,4.81,5.12,0.114270634,5.14
2024-05-10,center,outside,5.32,5.04,5.15,5.17,5.54,4.60,5.14,0.128443676,5.39
2024-08-09,west,outside,6.01,5.34,5.37,5.53,5.42,4.69,5.39,0.172986833,5.51
2024-08-09,center,outside,6.06,5.39,5.45,5.41,5.93,4.37,5.44,0.243087776,5.23
2024-10-22,west,outside,6.04,5.37,4.97,5.01,4.86,4.90,5.19,0.185174092,5.25
2024-10-22,center,outside,5.94,5.51,5.10,5.08,5.14,4.76,5.26,0.168042653,5.49
2025-03-12,west,outside,4.83,4.93,4.42,4.63,4.33,4.61,4.63,0.093870478,4.45
